@relation propA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F10-weka.filters.supervised.instance.Resample-B1.0-S1-Z23.45065861-no-replacement

@attribute cbo numeric
@attribute rfc numeric
@attribute ca numeric
@attribute ce numeric
@attribute loc numeric
@attribute dam numeric
@attribute mfa numeric
@attribute cam numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
6,10,1,5,36,0.5,0,0.625,16,2,1,FALSE
8,13,0,8,49,0,0.8,0.666667,23.5,1,0.5,FALSE
9,13,0,9,43,0,0.916667,0.555556,9,1,0.5,FALSE
8,16,0,8,62,1,0.933333,0.75,19.333333,2,0.6667,FALSE
8,15,0,8,60,0,0.875,0.625,29,5,2.5,FALSE
2,30,0,2,128,0,0,0.3125,30.75,4,1.5,FALSE
27,38,2,26,236,1,0,0.292929,25.111111,2,1,FALSE
13,8,0,13,29,0,0.875,0.625,13.5,1,0.5,FALSE
6,11,0,6,42,0,0.857143,0.625,20,3,1.5,FALSE
13,21,0,13,64,0,0.833333,0.533333,9.333333,1,0.6667,FALSE
4,5,3,1,18,0,0,0,12,0,0,FALSE
12,17,0,12,68,0,0.892857,0.666667,12,1,0.6,FALSE
5,4,0,5,9,0,0,0.75,3.5,1,0.5,FALSE
9,23,0,9,157,0.571429,0.947368,0.666667,49,8,2.6667,FALSE
0,5,0,0,20,0,0,0,12,0,0,FALSE
21,21,4,17,104,0,0.884615,0.666667,19.2,1,0.6,FALSE
16,45,0,16,496,0.25,0.857143,0.45,97.4,12,5.6,FALSE
10,61,0,10,592,0.857143,0,0.275,64,3,1.6667,FALSE
13,23,2,11,78,0,0.96,0.555556,17.75,1,0.5,FALSE
9,13,1,8,49,0,0.875,0.625,23.5,4,2,FALSE
5,2,5,0,2,0,0,0.75,0,1,1,FALSE
19,22,3,16,111,0.4,0.884615,0.666667,20.2,1,0.6,FALSE
6,11,1,5,48,0.666667,0,0.416667,14,2,1,FALSE
28,36,0,28,207,0,0.92,0.444444,66.333333,6,2.3333,FALSE
3,13,1,2,59,1,0,0.3,6.25,2,0.5,FALSE
2,17,0,2,76,0.833333,0,0.5,22.333333,1,0.3333,FALSE
3,16,3,0,92,1,0,0.533333,4.666667,1,0.9333,FALSE
4,15,2,2,114,1,0,0.666667,26.25,1,0.5,FALSE
11,21,0,11,74,0,0.978723,0.75,35.5,6,3,FALSE
23,24,2,21,90,0,0.888889,0.666667,16.4,1,0.6,FALSE
10,13,1,9,43,0,0.916667,0.555556,9,1,0.5,FALSE
7,13,2,5,49,0,0,0.5,8.4,1,0.6,FALSE
17,33,0,17,161,0,0.852941,0.404762,25.166667,5,1.6667,FALSE
12,31,1,11,153,0.5,0,0.333333,36.25,9,2.75,FALSE
12,46,1,11,352,0.428571,0.847619,0.201389,18.166667,7,2.2222,FALSE
13,10,0,13,29,0,0.857143,0.6,13.5,1,0.5,FALSE
9,11,0,9,33,0,0.869565,0.5,5.2,1,0.6,FALSE
11,40,1,10,186,0,0.888889,0.625,92,1,0.5,FALSE
2,9,0,2,32,0,0.969231,1,6.25,1,0.5,FALSE
33,75,1,32,408,0,0.938776,0.4375,79.6,2,0.8,FALSE
16,10,3,13,34,0,0.875,0.625,16,3,1.5,FALSE
8,6,0,8,83,0,0.875,0.625,40.5,7,3.5,FALSE
9,19,0,9,92,0.333333,0.95,0.75,28.666667,3,1,FALSE
3,3,1,2,8,0,0.928571,0.666667,3,1,0.5,FALSE
30,204,0,30,2169,0.916667,0,0.2,51.02439,20,3.4878,FALSE
21,31,0,21,140,0,0.84,0.6,21.833333,1,0.6667,FALSE
7,7,1,6,17,0,0.965517,0.666667,7.5,1,0.5,FALSE
5,10,0,5,38,0,0.875,0.666667,18,3,1.5,FALSE
4,2,3,1,2,0,0,1,0,1,1,FALSE
12,16,6,6,54,0,0.666667,0.444444,7.833333,3,1,FALSE
11,20,0,11,62,0,0.92,0.555556,13.75,1,0.5,FALSE
18,68,1,17,1816,0.133333,0,0.369048,126.571429,8,3.3571,FALSE
22,29,0,22,151,0,0.8,0.666667,73,1,0.5,FALSE
12,14,0,12,104,0,0.875,0.6,51,11,5.5,FALSE
15,11,0,15,49,0,0.8,0.666667,23.5,1,0.5,FALSE
14,17,1,13,60,0,0.88,0.666667,10.4,1,0.6,FALSE
41,76,1,40,461,0.111111,0,0.361111,63.571429,1,0.7143,FALSE
31,60,0,31,613,0,0.615385,0.357143,100.666667,25,9.3333,FALSE
0,5,0,0,17,0,0,0,12,0,0,FALSE
12,11,0,12,35,0,0.857143,0.625,16.5,3,1.5,FALSE
16,38,1,15,163,0,0.962963,0.555556,39,1,0.5,FALSE
12,11,0,12,39,0,0.869565,0.541667,8.75,2,1,FALSE
12,32,1,11,199,0,0.860759,0.3125,15.5,11,1.75,FALSE
14,26,0,14,200,0,0.9,0.625,99,4,2,FALSE
6,9,4,2,28,1,0.962963,0.65,4.4,1,0.2,FALSE
19,30,0,19,241,0,0.875,0.625,119.5,1,0.5,FALSE
9,8,0,9,24,0,0.857143,0.6,11,1,0.5,FALSE
19,14,1,18,66,0,0.944444,0.625,32,1,0.5,FALSE
4,27,0,4,187,0.75,0,0.3125,35.6,1,0.6,FALSE
7,5,4,3,5,0,0,0.5,0,1,1,FALSE
19,50,0,19,167,0,0,0.666667,82,8,4,FALSE
8,23,0,8,97,0,0,0.666667,30.333333,2,1,FALSE
9,14,1,8,45,0,0.875,0.5,7.4,1,0.6,FALSE
36,92,2,34,678,0.384615,0,0.30303,54.416667,16,3.8333,FALSE
11,25,1,11,177,0.5,0.938053,0.4,18,1,0.7778,FALSE
3,6,0,3,34,0,0.9375,0.75,16,4,2,FALSE
15,18,0,15,64,0,0.88,0.666667,11.2,1,0.6,FALSE
15,19,2,13,73,0,0.84,0.733333,10.666667,1,0.6667,FALSE
10,54,0,10,319,0.375,0.685714,0.333333,22.923077,2,0.9231,FALSE
24,21,0,24,96,0,0.9375,0.625,47,1,0.5,FALSE
12,17,0,12,62,0,0.875,0.6,30,4,2,FALSE
26,31,0,26,168,0,0.8,0.666667,83,1,0.5,FALSE
14,27,2,14,164,0.571429,0.836735,1,16.444444,2,1,FALSE
10,34,0,10,231,0.428571,0.702703,0.236111,16.230769,2,1.1538,FALSE
15,13,6,9,43,0,0.916667,0.555556,9,1,0.5,FALSE
6,10,1,5,38,0,0.857143,0.666667,18,3,1.5,FALSE
6,18,0,6,74,0.5,0,0.666667,17,4,1.25,FALSE
31,27,0,31,153,0,0.875,0.625,75,1,0.5,FALSE
18,36,0,18,132,0,0.848485,0.555556,17.428571,1,0.7143,FALSE
2,1,1,1,1,0,0,1,0,1,1,FALSE
7,16,1,6,50,0,0,0.666667,15.333333,2,1,FALSE
3,9,0,3,31,0,0,0.333333,9,2,1,FALSE
15,41,1,14,179,0,0.969697,0.555556,43,1,0.5,FALSE
12,21,0,12,94,0.5,0.666667,0.625,29.666667,5,1.6667,FALSE
1,10,0,1,88,0,0.966667,0.666667,42,1,0.5,FALSE
37,72,7,30,489,0,0.772727,0.787879,39.416667,2,0.9167,FALSE
6,18,1,5,92,0.333333,0.875,0.416667,16.8,3,1,FALSE
6,9,0,6,30,0,0.666667,0.75,13.5,2,1,FALSE
2,9,0,2,32,0,0.96875,1,6.25,1,0.5,FALSE
15,18,0,15,64,0,0.884615,0.666667,11.2,1,0.6,FALSE
9,10,0,9,28,0,0.913043,0.555556,5.5,1,0.5,FALSE
18,17,3,15,64,0,0.857143,0.625,31,4,2,FALSE
9,13,0,9,43,0,0.923077,0.555556,9,1,0.5,FALSE
8,23,0,8,174,1,0.866667,0.371429,23,5,2.2857,FALSE
5,54,0,5,626,0.533333,0.649351,0.16,19.366667,23,2.1333,FALSE
1,2,0,1,4,0,1,1,3,0,0,FALSE
0,2,0,0,16,0,0,0,4,0,0,FALSE
7,29,1,6,235,1,0.882353,0.555556,57,20,5.25,FALSE
17,7,13,4,9,0,0,0.857143,0,1,1,FALSE
19,14,1,18,66,0,0.944444,0.625,32,1,0.5,FALSE
6,1,2,4,1,0,0,1,0,1,1,FALSE
16,26,0,16,87,0,0.777778,0.416667,27.333333,3,1.3333,FALSE
6,19,0,6,162,0,0.982759,0.666667,80,12,6,FALSE
1,3,0,1,7,0,0.95,0.75,2.5,1,0.5,FALSE
0,2,0,0,14,0,0,0,4,0,0,FALSE
